,movie_id,budget,title,original_title,status,tagline,release_date,runtime,genres,production_companies,production_countries,popularity,revenue,vote_average,vote_count,cast,crew,homepage,keywords,original_language,overview,spoken_languages,release_year,release_month,,
0,19995,237000000,Avatar,Avatar,Released,Enter the World of Pandora.,2009-12-10,162.0,"Action,Adventure,Fantasy,Science Fiction","Ingenious Film Partners,Twentieth Century Fox Film Corporation,Dune Entertainment,Lightstorm Entertainment","United States of America,United Kingdom",150.437577,2787965087,7.2,11800,SamWorthington,JamesCameron,http://www.avatarmovie.com/,"culture clash,future,space war,space colony,society,space travel,futuristic,romance,space,alien,tribe,alien planet,cgi,marine,soldier,battle,love affair,anti war,power relations,mind and soul,3d",en,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.","English,Español",2009.0,12.0,,
1,285,300000000,Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World's End,Released,"At the end of the world, the adventure begins.",2007-05-19,169.0,"Adventure,Fantasy,Action","Walt Disney Pictures,Jerry Bruckheimer Films,Second Mate Productions",United States of America,139.082615,961000000,6.9,4500,JohnnyDepp,GoreVerbinski,http://disney.go.com/disneypictures/pirates/,"ocean,drug abuse,exotic island,east india trading company,love of one's life,traitor,shipwreck,strong woman,ship,alliance,calypso,afterlife,fighter,pirate,swashbuckler,aftercreditsstinger",en,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",English,2007.0,5.0,,
2,206647,245000000,Spectre,Spectre,Released,A Plan No One Escapes,2015-10-26,148.0,"Action,Adventure,Crime","Columbia Pictures,Danjaq,B24","United Kingdom,United States of America",107.37678799999999,880674609,6.3,4466,DanielCraig,SamMendes,http://www.sonypictures.com/movies/spectre/,"spy,based on novel,secret agent,sequel,mi6,british secret service,united kingdom",en,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.","Français,English,Español,Italiano,Deutsch",2015.0,10.0,,
3,49026,250000000,The Dark Knight Rises,The Dark Knight Rises,Released,The Legend Ends,2012-07-16,165.0,"Action,Crime,Drama,Thriller","Legendary Pictures,Warner Bros.,DC Entertainment,Syncopy",United States of America,112.31295,1084939099,7.6,9106,ChristianBale,ChristopherNolan,http://www.thedarkknightrises.com/,"dc comics,crime fighter,terrorist,secret identity,burglar,hostage drama,time bomb,gotham city,vigilante,cover-up,superhero,villainess,tragic hero,terrorism,destruction,catwoman,cat burglar,imax,flood,criminal underworld,batman",en,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",English,2012.0,7.0,,
4,49529,260000000,John Carter,John Carter,Released,"Lost in our world, found in another.",2012-03-07,132.0,"Action,Adventure,Science Fiction",Walt Disney Pictures,United States of America,43.926995,284139100,6.1,2124,TaylorKitsch,AndrewStanton,http://movies.disney.com/john-carter,"based on novel,mars,medallion,space travel,princess,alien,steampunk,martian,escape,edgar rice burroughs,alien race,superhuman strength,mars civilization,sword and planet,19th century,3d",en,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",English,2012.0,3.0,,
5,559,258000000,Spider-Man 3,Spider-Man 3,Released,The battle within.,2007-05-01,139.0,"Fantasy,Action,Adventure","Columbia Pictures,Laura Ziskin Productions,Marvel Enterprises",United States of America,115.69981399999999,890871626,5.9,3576,TobeyMaguire,SamRaimi,http://www.sonypictures.com/movies/spider-man3/,"dual identity,amnesia,sandstorm,love of one's life,forgiveness,spider,wretch,death of a friend,egomania,sand,narcism,hostility,marvel comic,sequel,superhero,revenge",en,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.","English,Français",2007.0,5.0,,
6,38757,260000000,Tangled,Tangled,Released,They're taking adventure to new lengths.,2010-11-24,100.0,"Animation,Family","Walt Disney Pictures,Walt Disney Animation Studios",United States of America,48.681969,591794936,7.4,3330,ZacharyLevi,"ByronHoward,NathanGreno",http://disney.go.com/disneypictures/tangled/,"hostage,magic,horse,fairy tale,musical,princess,animation,tower,blonde woman,selfishness,healing power,based on fairy tale,duringcreditsstinger,healing gift,animal sidekick",en,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",English,2010.0,11.0,,
7,99861,280000000,Avengers: Age of Ultron,Avengers: Age of Ultron,Released,A New Age Has Come.,2015-04-22,141.0,"Action,Adventure,Science Fiction","Marvel Studios,Prime Focus,Revolution Sun Studios",United States of America,134.27922900000002,1405403694,7.3,6767,RobertDowneyJr.,JossWhedon,http://marvel.com/movies/movie/193/avengers_age_of_ultron,"marvel comic,sequel,superhero,based on comic book,vision,superhero team,duringcreditsstinger,marvel cinematic universe,3d",en,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",English,2015.0,4.0,,
8,767,250000000,Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince,Released,Dark Secrets Revealed,2009-07-07,153.0,"Adventure,Fantasy,Family","Warner Bros.,Heyday Films","United Kingdom,United States of America",98.885637,933959197,7.4,5293,DanielRadcliffe,DavidYates,http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html,"witch,magic,broom,school of witchcraft,wizardry,apparition,teenage crush,werewolf",en,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",English,2009.0,7.0,,
9,209112,250000000,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,Released,Justice or revenge,2016-03-23,151.0,"Action,Adventure,Fantasy","DC Comics,Atlas Entertainment,Warner Bros.,DC Entertainment,Cruel & Unusual Films,RatPac-Dune Entertainment",United States of America,155.790452,873260194,5.7,7004,BenAffleck,ZackSnyder,http://www.batmanvsupermandawnofjustice.com/,"dc comics,vigilante,superhero,based on comic book,revenge,super powers,clark kent,bruce wayne,dc extended universe",en,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",English,2016.0,3.0,,
